STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
1;ch?a m? mã;Nâng c?p, c?i t?o, s?a ch?a Nhà làm vi?c Huy?n ?y, UBND huy?n và các h?ng m?c ph? tr?;V? Giang;2;H;C?m Xuyên;2140;1;;;;;;;;;;;
2;8156067;Nâng c?p, m? r?ng ???ng Th? S?n, huy?n Can L?c (giai ?o?n 2);H??ng;2;H;Can L?c;2140;1;;;;;;;;;;;
3;8158497;"Kh?i hành chính qu?n tr? k?t h?p phòng ph?c v? h?c t?p 02 t?ng 06 phòng; b?p ?n bán trú; h? th?ng thoát n??c và các h?ng m?c ph? tr? Tr??ng M?m non Ng?c S?n";Tâm;3;H;Th?ch Hà;2140;1;;;;;;;;;;;
4;8164161;Kh?i phòng h?c t?p k?t h?p h? tr?, ph? tr? h?c t?p Tr??ng THCS H??ng Tr?ch;??c;3;H;H??ng Khê;2140;1;;;;;;;;;;;
5;8164160;Kh?i ph? tr? h?c t?p 02 t?ng Tr??ng ti?u h?c Phú Phong;??c;3;H;H??ng Khê;2140;1;;;;;;;;;;;
6;8080494;C?u Cây Soi, xã H??ng Giang;??c;3;H;H??ng Khê;2140;1;;;;;;;;;;;
7;8096033;Nhà h?c 02 t?ng 04 phòng Tr??ng M?m non Phúc ??ng;??c;3;H;H??ng Khê;2140;1;;;;;;;;;;;
8;8080482;??p V?c Rong xã Hòa H?i;??c;3;H;H??ng Khê;2140;1;;;;;;;;;;;
9;8096035;S?a ch?a, c?i t?o Tr??ng M?m non Hòa H?i (?i?m ??i ??ng);??c;3;H;H??ng Khê;2140;1;;;;;;;;;;;
10;8061189;Nhà h?c b? môn 02 t?ng 8 phòng Tr??ng THCS C?m Th?nh;V? Giang;2;H;C?m Xuyên;2140;2;;;;;;;;;;;
11;8132632;???ng tr?c xã TX.11 xã C?m M?;V? Giang;2;H;C?m Xuyên;2140;2;;;;;;;;;;;
12;8132634;???ng liên xã ?LX.02 Th? tr?n Thiên C?m ?i xã Nam Phúc Th?ng;V? Giang;2;H;C?m Xuyên;2140;2;;;;;;;;;;;
