STT	Mã dự án	Dự án	Kế toán	Phòng DA	Cấp QĐ đầu tư trước khi bàn giao	CĐT cũ	QĐ chuyển CĐT	Tình trạng hiện tại
								
		Tổng						
1	chưa mở mã	Nâng cấp, cải tạo, sửa chữa Nhà làm việc Huyện Ủy, UBND huyện và các hạng mục phụ trợ	Vũ Giang	2	H	Cẩm Xuyên	2140	1
2	8156067	Nâng cấp, mở rộng đường Thị Sơn, huyện Can Lộc (giai đoạn 2)	Hương	2	H	Can Lộc	2140	1
3	8158497	Khối hành chính quản trị kết hợp phòng phục vụ học tập 02 tầng 06 phòng; bếp ăn bán trú; hệ thống thoát nước và các hạng mục phụ trợ Trường Mầm non Ngọc Sơn	Tâm	3	H	Thạch Hà	2140	1
4	8164161	Khối phòng học tập kết hợp hồ trợ, phụ trợ học tập Trường THCS Hương Trạch	Đức	3	H	Hương Khê	2140	1
5	8164160	Khối phụ trợ học tập 02 tầng Trường tiểu học Phú Phong	Đức	3	H	Hương Khê	2140	1
6	8080494	Cầu Cây Soi, xã Hương Giang	Đức	3	H	Hương Khê	2140	1
7	8096033	Nhà học 02 tầng 04 phòng Trường Mầm non Phúc Đồng	Đức	3	H	Hương Khê	2140	1
8	8080482	Đập Vực Rong xã Hòa Hải	Đức	3	H	Hương Khê	2140	1
9	8096035	Sửa chữa, cải tạo Trường Mầm non Hòa Hải (Điểm Đại Đồng)	Đức	3	H	Hương Khê	2140	1
10	8061189	Nhà học bộ môn 02 tầng 8 phòng Trường THCS Cẩm Thịnh	Vũ Giang	2	H	Cẩm Xuyên	2140	2
11	8132632	Đường trục xã TX.11 xã Cẩm Mỹ	Vũ Giang	2	H	Cẩm Xuyên	2140	2
12	8132634	Đường liên xã ĐLX.02 Thị trấn Thiên Cầm đi xã Nam Phúc Thăng	Vũ Giang	2	H	Cẩm Xuyên	2140	2
13	8061193	Nhà học 02 tầng 8 phòng học bộ môn Trường THCS Hà Huy Tập	Vũ Giang	2	H	Cẩm Xuyên	2140	2
14	8062397	Kênh tiêu úng dọc đường ĐH 131 đoạn từ đường ĐH 121 đến thôn Bình Minh, xã Cẩm Bình, huyện Cẩm Xuyên	Vũ Giang	2	H	Cẩm Xuyên	2140	2
15	8115004	Xây dựng trường chính trị Trần Phú	Bình	2	T	Dân dụng	DDCN	2
16	8172870	Xây dựng tường rào, cổng, mương thoát nước, sân nội bộ và hạng mục phụ trợ mở rộng khuôn viên Bệnh viện Đa khoa tỉnh Hà Tĩnh	Vũ Giang	2	T	Cẩm Xuyên	3071	2
17	8160772	Dự án xây dựng nhà học 3 tầng 15 phòng Trường THPT Cẩm Xuyên	Vũ Giang	2	T	Cẩm Xuyên	1882	2
18	8119291	Nâng cấp tuyến đường trục xã TX.01 đoạn từ Quốc lộ 15B đến thôn Văn Sơn, xã Đỉnh Bàn, huyện Thạch Hà	Tâm	3	T	Thạch Hà	2140	2
19	8119922	Xây dựng trạm bơm Cồn Đình, xã Thạch Long	Tâm	3	H	Thạch Hà	2140	2
20	8128679	Hàng rào và các công trình phụ trợ Trường THCS Ngọc Sơn	Tâm	3	H	Thạch Hà	2140	2
21	8128253	Xây dựng tràn điều tiết kết hợp đường giao thông nội đồng và tuyến kênh tưới phục vụ sản xuất thôn Xuân Sơn, xã Lưu Vĩnh Sơn	Đại	3	H	Thạch Hà	2140	2
22	8128528	Xây dựng trạm bơm và kênh tưới nội đồng xã Thạch Liên	Đại	3	H	Thạch Hà	2140	2
23	8128527	Xây dựng tuyến kênh tưới hạ du hồ chứa nước đập Đá Đen, xã Ngọc Sơn	Đại	3	H	Thạch Hà	2140	2
24	8128531	Nâng cấp, mở rộng đường đê sông Hữu Nghèn đoạn từ cống Vọc Sim đến thôn Đông Hà 2, xã Thạch Long	Đại	3	H	Thạch Hà	2140	2
25	8127404	Dãy nhà 02 tầng 06 phòng học bộ môn và các hạng mục phụ trợ Trường THCS Hàm Nghi (điểm Thạch Xuân)	Tâm	3	H	Thạch Hà	2140	2
26	8128526	Dãy nhà 02 tầng 10 phòng học bộ môn và các hạng mục phụ trợ Trường THCS Hương Điền - Nam Hương, xã Nam Điền	Tâm	3	H	Thạch Hà	2140	2
27	8158498	Dãy nhà học 02 tầng 06 Trường Mầm non Thạch Ngọc	Tâm	3	H	Thạch Hà	2140	2
28	8158237	Nâng cấp đường giao thông nông thôn xã Hương Long	Đức	3	H	Hương Khê	2140	2
29	8096029	Nhà học bộ môn kết hợp phụ trợ, hỗ trợ học tập Trường Tiểu học Hương Vĩnh	Đức	3	H	Hương Khê	2140	2
30	8080393	Cầu Từ Văn và cầu Làng Mướp, xã Hòa Hải	Đức	3	H	Hương Khê	2140	2
31	8053447	Nhà học 02 tầng kết hợp phòng hành chính quản trị Trường Mầm non Hà Linh (điểm trường Truông Bát)	Đức	3	H	Hương Khê	2140	2
32	8080500	Đường GTNT TX03 xã Điền Mỹ	Đức	3	H	Hương Khê	2140	2
33	8080495	Đường GTNT thôn 8 xã Hà Linh	Đức	3	H	Hương Khê	2140	2
34	7941294	Dự án Đường từ thị trấn Đức Thọ đến Khu lưu niệm Trần Phú, huyện Đức Thọ	Huân	1	T	Đức Thọ	2140	3
35	8106611	Dự án Cầu Bãi Thẹn nối huyện Đức Thọ và thị xã Hồng Lĩnh	Huân	1	H	Đức Thọ	2140	3
36	8155800	Trường tiểu học Ân Phú; Hạng mục: xây dựng mới nhà đa chức năng 2 tầng, sửa chữa nhà học 2 tầng và các hạng mục phụ trợ khác	Thuận	1	H	Vũ Quang	2140	3
37	7767755	Dự án Trồng mới, phục hồi và bảo vệ rừng ngập mặn ven biển ứng phó với biến đổi khí hậu tại các huyện: Nghi Xuân, Cẩm Xuyên và thị xã Kỳ Anh	Hương Giang	1	T	Dân dụng	DDCN	3
38	7872498	Cải tạo, nâng cấp Hồ sinh thái Khu di tích Đồng Lộc (Giai đoạn 2)	Hương Giang	1	T	Dân dụng	DDCN	3
39	7946312	Nâng cấp, cải tạo Bệnh viện đa khoa huyện Cẩm Xuyên	Hương Giang	1	T	Dân dụng	DDCN	3
40	7993024	Dự án đầu tư xây dựng nâng cấp, cải tạo và mua sắm trang thiết bị cho 04 Bệnh viện đa khoa, Trung tâm y tế huyện huyện, tỉnh Hà Tĩnh	Hương Giang	1	T	Dân dụng	DDCN	5
41	8028364	Chương trình đầu tư phát triển mạng lưới y tế cơ sở vùng khó khăn, tỉnh Hà Tĩnh	Hương Giang	1	T	Dân dụng	DDCN	3
42	8155076	Dự án xây dựng, tôn tạo một số hạng mục tại Khu mộ Tổng Bí Thư Trần Phú	Bình	1	T	Dân dụng	DDCN	3
43	8160730	Dự án xây dựng, cải tạo hạ tầng kỹ thuật và một số hạng mục tại Khu lưu niệm Tổng Bí Thư Trần Phú	Bình	1	T	Dân dụng	DDCN	3
44	8155078	Dự án xây dựng, tôn tạo một số hạng mục tại Khu mộ Tổng Bí Thư Hà Huy Tập	Bình	1	T	Dân dụng	DDCN	3
45	8160731	Dự án xây dựng, cải tạo hạ tầng kỹ thuật và một số hạng mục tại Khu lưu niệm Tổng Bí Thư Hà Huy Tập	Bình	1	T	Dân dụng	DDCN	3
46	8155077	Tôn tạo Nhà lưu niệm, Nhà tưởng niệm, Nhà tranh tại khu lưu niệm Tổng Bí thư Hà HUy Tập	Bình	1	T	Dân dụng	DDCN	3
47	8155075	Xây dựng Nhà lưu niệm, Nhà tưởng niệm tại khu lưu niệm Tổng Bí thư Trần Phú	Bình	1	T	Dân dụng	DDCN	3
48	8173864	Xây dựng Trường phổ thông nội trú liên cấp Tiểu học và THCS Hương Khê	Hương Giang	1	T	DDHT		3
49	8173865	Xây dựng Trường phổ thông nội trú liên cấp Tiểu học và THCS Sơn Kim 1	Hương Giang	1	T	DDHT		3
50	8096165	Hệ thống điện chiếu sáng KDL Thiên Cầm đoạn Quốc lộ 15B (từ Km44+950 đến Km52+120) và hệ thống đèn trang trí cầu Cửa Nhượng, huyện Cẩm Xuyên	Vũ Giang	2	T	Cẩm Xuyên	2140	3
51	8131256	Đường nối đường gom QL15B đi cụm công nghiệp Cẩm Nhượng	Vũ Giang	2	T	Cẩm Xuyên	2140	3
52	7941955	Nâng cấp, mở rộng tuyến đường Cẩm Thạch - Thạch Hội, huyện Cẩm Xuyên, tỉnh Hà Tĩnh	Nam	2	T	Cẩm Xuyên	2140	3
53	7941956	Hạ tầng khu du lịch Nam Thiên Cầm, huyện Cẩm Xuyên	Vũ Giang	2	T	Cẩm Xuyên	2140	3
54	7936770	Hoàn thiện hạ tầng kỹ thuật Cụm công nghiệp - Tiểu thủ công nghiệp Bắc Cẩm Xuyên	Nam	2	T	Cẩm Xuyên	2140	3
55	8067233	Đường trục xã TX.05 xã Cẩm Thành	Nam	2	H	Cẩm Xuyên	2140	3
56	7972205	Đường Phạm Lê Đức, thị trấn Cẩm Xuyên	Nam	2	H	Cẩm Xuyên	2140	3
57	7972202	Đường Cẩm Sơn đi Cẩm Thịnh (Đường tránh lũ)	Nam	2	H	Cẩm Xuyên	2140	3
58	8042041	Đường giao thông liên xã Khánh Vĩnh Yên - Thanh Lộc, huyện Can Lộc đi thị xã Hồng Lĩnh	Hương	2	T	Can Lộc	2140	3
59	8080684	Xây dựng nhà học 4 tầng trường THPT Đồng Lộc, huyện Can Lộc	Hương	2	H	Can Lộc	2140	3
60	8105294	Xây dựng hạ tầng khuôn viên trụ sở xã Kim Song Trường	Hương	2	H	Can Lộc	2140	3
61	7544621	Dự án Hạ tầng cơ bản cho phát triển toàn diện tỉnh Hà Tĩnh thuộc Dự án BIIG2	Hương Giang	2	T	Dân dụng	DDCN	3
62	7942217	Đầu tư xây dựng trường nghề chất lượng cao, trường cao đẳng nghề Việt Đức Hà Tĩnh	Vũ Giang	2	T	Dân dụng	DDCN	3
63	7868256	Xử lý cấp bách đê Hữu Phủ, huyện Thạch Hà, đoạn từ K10+00 đến K15+315	Phú	3	T	Thạch Hà	2013	3
64	7936829	Đường trục ngang ven biển huyện Thạch Hà	Phú	3	T	Thạch Hà	2140	3
65	7935525	Hạ tầng ngoài hàng rào cụm công nghiệp Thạch Bằng, huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	3
66	7602235	Hạ tầng khu du lịch biển huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	3
67	7853227	Xử lý cấp bách đê tả nghèn huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	3
68	7933742	Đê tả nghèn huyện Lộc Hà đoạn qua chùa Phổ độ nối với tỉnh lộ 9	Phú	3	T	Thạch Hà	2140	3
69	7275750	Đường cứu hộ cứu nạn cho Nhân dân các xã ven biển huyện Lộc Hà	Phú	3	T	Thạch Hà	2140	3
70	7786649	Tiểu dự án cải thiện cơ sở hạ tầng đô thị Thạch Hà, huyện Thạch Hà, tỉnh Hà Tĩnh. Thuộc dự án Cải thiện cơ sở hạ tầng đô thị nhằm giảm thiểu tác động của biến đổi khí hậu cho 04 tỉnh ven biển Bắc Trung Bộ.	Phú	3	T	Thạch Hà	2140	3
